Team Name,Boston Fleet,Montreal Victoire,New York Sirens,Toronto Sceptres,Ottawa Charge,Vancouver Goldeneyes,Seattle Torrent,Minnesota Frost
Maltaisers,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Emma Maltais (F),Elizabeth Giguere (F),Emerance Maschmeyer (G),Mikyla Grant-Mentis (F),Kendall Cooper (D) R
Maltais Magic,Abby Newhook (F) R,Marie-Philip Poulin (F),Jaime Bourbonnais (D),Emma Maltais (F),Elizabeth Giguere (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Mae Batherson (D)
Madzoey,Zoe Boyd (D),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Jennifer Gardiner (F),Julia Gosling (F),Kendall Cooper (D) R
MVPoulin,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Jaime Bourbonnais (D),Natalie Spooner (F),Emily Clark (F),Kristen Campbell (G),Jessie Eldridge (F),Kendall Cooper (D) R
MUSKOKEN ICE BLADES,Zoe Boyd (D),Laura Stacey (F),Sarah Fillier (F),Elaine Chuli (G),Emily Clark (F),Hannah Miller (F),Mikyla Grant-Mentis (F),Kendall Cooper (D) R
MTL99,Jill Saulnier (F),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Sarah Wozniewicz (F) R,Claire Thompson (D),Corinne Schroeder (G),Mae Batherson (D)
MTL Sports Girl,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Emma Maltais (F),Emily Clark (F),Claire Thompson (D),Julia Gosling (F),Kendall Cooper (D) R
MTBGEM17 ,Abby Newhook (F) R,Laura Stacey (F),Sarah Fillier (F),Renata Fast (D),Sarah Wozniewicz (F) R,Hannah Miller (F),Jessie Eldridge (F),Marlène Boissonnault (G)
Lockdown,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Elaine Chuli (G),Brianne Jenner (F),Claire Thompson (D),Danielle Serdachny (F),Kendall Cooper (D) R
Lizards,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sarah Nurse (F),Corinne Schroeder (G),Kendall Cooper (D) R
Lively Lightning ,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Anne Cherkowski (F) R,Emma Maltais (F),Jocelyne Larocque (D),Sarah Nurse (F),Julia Gosling (F),Kendall Cooper (D) R
LightningRod,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Elaine Chuli (G),Brianne Jenner (F),Sarah Nurse (F),Hannah Murphy (G) R,Kendall Cooper (D) R
Lightning27,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Natalie Spooner (F),Brianne Jenner (F),Emerance Maschmeyer (G),Jenna Buglioni (F) R,Kendall Cooper (D) R
Life in the FAST Lane,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Kendall Cooper (D) R
Let’s Go! ,Abby Newhook (F) R,Nicole Gosling (D),Sarah Fillier (F),Raygan Kirk (G),Jocelyne Larocque (D),Sarah Nurse (F),Lexie Adzija (F),Abby Hustler (F) R
Lesbian Nation,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Claire Thompson (D),Julia Gosling (F),Abby Hustler (F) R
Les étoiles du nord,Abby Newhook (F) R,Laura Stacey (F),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Hannah Miller (F),Corinne Schroeder (G),Mae Batherson (D)
Les GOATs,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Jocelyne Larocque (D),Kristen Campbell (G),Julia Gosling (F),Alyssa Machado (F)
Les Fricatrices,Jamie Lee Rattray (F),Laura Stacey (F),Kristin O’Neill (F),Renata Fast (D),Jocelyne Larocque (D),Jennifer Gardiner (F),Carly Jackson (G),Abby Hustler (F) R
Lehabitant ,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Vanessa Upson (F)
Lego my Meggo,Rylind MacKinnon (D),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Jocelyne Larocque (D),Hannah Miller (F),Julia Gosling (F),Vanessa Upson (F)
Leftcoast Storm,Abby Newhook (F) R,Marie-Philip Poulin (F),Micah Zandee-Hart (D),Natalie Spooner (F),Brianne Jenner (F),Sarah Nurse (F),Carly Jackson (G),Cameron Slichk (D)
Langley blue,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Natalie Spooner (F),Jocelyne Larocque (D),Kristen Campbell (G),Julia Gosling (F),Kendall Cooper (D) R
LL Hockey,Zoe Boyd (D),Marie-Philip Poulin (F),Olivia Knowles (D),Renata Fast (D),Brianne Jenner (F),Sarah Nurse (F),Carly Jackson (G),Abby Hustler (F) R
L'équipe Clutch et les Chèvres,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Hannah Miller (F),Jessie Eldridge (F),Abby Hustler (F) R
Kragsta,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Ella Shelton (D),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Abby Hustler (F) R
Knuckle Puckers,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Natalie Spooner (F),Jocelyne Larocque (D),Michela Cava (F),Jenna Buglioni (F) R,Mae Batherson (D)
Killing in the name of jailbreak ,Zoe Boyd (D),Erin Ambrose (D),Maddi Wheeler (F) R,Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Olivia Wallin (F) R,Abby Hustler (F) R
Kevina,Jill Saulnier (F),Laura Stacey (F),Sarah Fillier (F),Natalie Spooner (F),Emily Clark (F),Jennifer Gardiner (F),Hannah Murphy (G) R,Alyssa Machado (F)
Kayhockey09,Loren Gabel (F),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Claire Thompson (D),Hannah Murphy (G) R,Mae Batherson (D)
Katrine,Olivia Muhn (D),Marie-Philip Poulin (F),Emmy Fecteau (F),Emma Maltais (F),Elizabeth Giguere (F),Sarah Nurse (F),Carly Jackson (G),Marlène Boissonnault (G)
Kandicoco,Abby Newhook (F) R,Laura Stacey (F),Sarah Fillier (F),Natalie Spooner (F),Brianne Jenner (F),Sophie Jaques (D),Julia Gosling (F),Vanessa Upson (F)
KJ,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Mikyla Grant-Mentis (F),Kendall Cooper (D) R
KG's team,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Jessie Eldridge (F),Kendall Cooper (D) R
K-Town Lakers,Abby Newhook (F) R,Ann-Renée Desbiens (G),Micah Zandee-Hart (D),Daryl Watts (F),Emily Clark (F),Hannah Miller (F),Jessie Eldridge (F),Mae Batherson (D)
Just Puckin' Around,Zoe Boyd (D),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Claire Thompson (D),Lexie Adzija (F),Abby Hustler (F) R
June’s badass,Rylind MacKinnon (D),Marie-Philip Poulin (F),Kristin O’Neill (F),Renata Fast (D),Sarah Wozniewicz (F) R,Claire Thompson (D),Corinne Schroeder (G),Cameron Slichk (D)
June’s,Abby Newhook (F) R,Marie-Philip Poulin (F),Kristin O’Neill (F),Renata Fast (D),Brianne Jenner (F),Emerance Maschmeyer (G),Hannah Murphy (G) R,Kendall Cooper (D) R
Jessie's Fantasy,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Abby Hustler (F) R
Jep,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Jaime Bourbonnais (D),Blayre Turnbull (F),Sarah Wozniewicz (F) R,Sarah Nurse (F),Mikyla Grant-Mentis (F),Abby Hustler (F) R
Jenner’s Hat Trick,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Hannah Miller (F),Corinne Schroeder (G),Mae Batherson (D)
Jaguars,Olivia Muhn (D),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Sarah Nurse (F),Megan Carter (D),Kendall Cooper (D) R
JT,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Jocelyne Larocque (D),Sarah Nurse (F),Danielle Serdachny (F),Kendall Cooper (D) R
Islanders,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Claire Thompson (D),Jessie Eldridge (F),Abby Hustler (F) R
Islander77,Abby Newhook (F) R,Laura Stacey (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Megan Carter (D),Mae Batherson (D)
Irvine Recyclers,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Natalie Spooner (F),Jocelyne Larocque (D),Emerance Maschmeyer (G),Danielle Serdachny (F),Cameron Slichk (D)
IcedDino,Rylind MacKinnon (D),Maya Labad (F) R,Jaime Bourbonnais (D),Raygan Kirk (G),Brooke Hobson (D),Sarah Nurse (F),Carly Jackson (G),Marlène Boissonnault (G)
Ice ice baby,Kelly Babstock (F),Marie-Philip Poulin (F),Sarah Fillier (F),Ella Shelton (D),Emily Clark (F),Emerance Maschmeyer (G),Megan Carter (D),Abby Hustler (F) R
