Team Name,Boston Fleet,Montreal Victoire,New York Sirens,Toronto Sceptres,Ottawa Charge,Vancouver Goldeneyes,Seattle Torrent,Minnesota Frost
East Van Effervescence,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Natalie Spooner (F),Jocelyne Larocque (D),Emerance Maschmeyer (G),Mikyla Grant-Mentis (F),Kendall Cooper (D) R
EH+2025,Jill Saulnier (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Jocelyne Larocque (D),Sarah Nurse (F),Julia Gosling (F),Abby Hustler (F) R
Dynamos ,Abby Newhook (F) R,Marie-Philip Poulin (F),Micah Zandee-Hart (D),Raygan Kirk (G),Jocelyne Larocque (D),Jennifer Gardiner (F),Julia Gosling (F),Abby Hustler (F) R
Durham Dormice,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Sarah Nurse (F),Corinne Schroeder (G),Kendall Cooper (D) R
Durds Crew,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Natalie Spooner (F),Emily Clark (F),Emerance Maschmeyer (G),Julia Gosling (F),Abby Hustler (F) R
Dilly Lomo,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Abby Hustler (F) R
Dika,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Jocelyne Larocque (D),Hannah Miller (F),Jessie Eldridge (F),Mae Batherson (D)
Danielle Save our Season,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Ella Shelton (D),Emily Clark (F),Hannah Miller (F),Hannah Murphy (G) R,Mae Batherson (D)
Danger Rangerzzz ,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Claire Thompson (D),Jessie Eldridge (F),Kendall Cooper (D) R
DT,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Kristin O’Neill (F),Natalie Spooner (F),Jocelyne Larocque (D),Jennifer Gardiner (F),Carly Jackson (G),Kendall Cooper (D) R
DD4ME,Zoe Boyd (D),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Stephanie Markowski (D),Hannah Miller (F),Julia Gosling (F),Mae Batherson (D)
Cygnus Swans,Zoe Boyd (D),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Michela Cava (F),Mikyla Grant-Mentis (F),Kendall Cooper (D) R
Country Schroeds,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Abby Hustler (F) R
Cooperalls,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Sophie Jaques (D),Danielle Serdachny (F),Kendall Cooper (D) R
Control + Alt + Dangle,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Sophie Jaques (D),Lexie Adzija (F),Kendall Cooper (D) R
Coach Chirpy,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Kendall Cooper (D) R
Clutch Canadians,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Hannah Miller (F),Jessie Eldridge (F),Abby Hustler (F) R
Clutch,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Michela Cava (F),Corinne Schroeder (G),Mae Batherson (D)
Clarkie’s Crew,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Natalie Spooner (F),Emily Clark (F),Claire Thompson (D),Julia Gosling (F),Kendall Cooper (D) R
Clara's Team,Jamie Lee Rattray (F),Laura Stacey (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Jenna Buglioni (F) R,Abby Hustler (F) R
Chuchuchuli,Abby Newhook (F) R,Erin Ambrose (D),Kristin O’Neill (F),Elaine Chuli (G),Jocelyne Larocque (D),Hannah Miller (F),Danielle Serdachny (F),Alyssa Machado (F)
Chippy Chiquitas ,Jill Saulnier (F),Marie-Philip Poulin (F),Anne Cherkowski (F) R,Renata Fast (D),Emily Clark (F),Claire Thompson (D),Carly Jackson (G),Abby Hustler (F) R
Champs,Zoe Boyd (D),Marie-Philip Poulin (F),Kristin O’Neill (F),Elaine Chuli (G),Emily Clark (F),Hannah Miller (F),Olivia Wallin (F) R,Alyssa Machado (F)
Chalk & Ice,Loren Gabel (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Sarah Nurse (F),Jessie Eldridge (F),Vanessa Upson (F)
Canadian Geese,Zoe Boyd (D),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Emerance Maschmeyer (G),Julia Gosling (F),Kendall Cooper (D) R
Canadian Crushers,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Hannah Murphy (G) R,Kendall Cooper (D) R
Canadian Cobras,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Abby Hustler (F) R
CanadaStrong,Abby Newhook (F) R,Erin Ambrose (D),Sarah Fillier (F),Daryl Watts (F),Brianne Jenner (F),Emerance Maschmeyer (G),Jessie Eldridge (F),Kendall Cooper (D) R
Canada Queens,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Sophie Jaques (D),Jenna Buglioni (F) R,Mae Batherson (D)
CL,Abby Newhook (F) R,Ann-Renée Desbiens (G),Emmy Fecteau (F),Renata Fast (D),Brianne Jenner (F),Sarah Nurse (F),Danielle Serdachny (F),Abby Hustler (F) R
C.A Stangs ,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Corinne Schroeder (G),Kendall Cooper (D) R
Buzzed Bunny,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Micah Zandee-Hart (D),Ella Shelton (D),Emily Clark (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Kendall Cooper (D) R
Burr17,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Jessie Eldridge (F),Kendall Cooper (D) R
Bronwyn's Beauts,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Stephanie Markowski (D),Hannah Miller (F),Julia Gosling (F),Vanessa Upson (F)
Brady’s Ladies,Jamie Lee Rattray (F),Laura Stacey (F),Sarah Fillier (F),Raygan Kirk (G),Emily Clark (F),Sophie Jaques (D),Danielle Serdachny (F),Kendall Cooper (D) R
Box Scorers,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Claire Thompson (D),Corinne Schroeder (G),Kendall Cooper (D) R
Blokes Best ,Rylind MacKinnon (D),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Emerance Maschmeyer (G),Jessie Eldridge (F),Kendall Cooper (D) R
Big Stick Energy,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Kendall Cooper (D) R
BestCoast,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Jocelyne Larocque (D),Emerance Maschmeyer (G),Jessie Eldridge (F),Abby Hustler (F) R
Bep’s team,Jill Saulnier (F),Ann-Renée Desbiens (G),Emmy Fecteau (F),Emma Maltais (F),Brianne Jenner (F),Sarah Nurse (F),Danielle Serdachny (F),Mae Batherson (D)
Beer League Beauties ,Zoe Boyd (D),Marie-Philip Poulin (F),Jaime Bourbonnais (D),Emma Maltais (F),Emily Clark (F),Sarah Nurse (F),Carly Jackson (G),Abby Hustler (F) R
Beaver Blades,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Kendall Cooper (D) R
Beaullers Beauties ,Sophie Shirley (F),Laura Stacey (F),Sarah Fillier (F),Natalie Spooner (F),Kendra Woodland (G),Nina Jobst-Smith (D) R,Megan Carter (D),Kendall Cooper (D) R
Beast Beauty Brains,Zoe Boyd (D),Marie-Philip Poulin (F),Kristin O’Neill (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Carly Jackson (G),Vanessa Upson (F)
BarDown Beauts,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Blayre Turnbull (F),Jocelyne Larocque (D),Emerance Maschmeyer (G),Danielle Serdachny (F),Kendall Cooper (D) R
Band-Aid Brigade,Zoe Boyd (D),Ann-Renée Desbiens (G),Kayle Osborne (G),Raygan Kirk (G),Emily Clark (F),Emerance Maschmeyer (G),Corinne Schroeder (G),Kendall Cooper (D) R
Baird’s,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sarah Nurse (F),Corinne Schroeder (G),Kendall Cooper (D) R
Babs ,Jamie Lee Rattray (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Kristen Campbell (G),Corinne Schroeder (G),Kendall Cooper (D) R
B-dot,Abby Newhook (F) R,Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Hannah Miller (F),Jessie Eldridge (F),Abby Hustler (F) R
Auntie2_6,Loren Gabel (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Jocelyne Larocque (D),Sarah Nurse (F),Danielle Serdachny (F),Kendall Cooper (D) R
Arcturus,Zoe Boyd (D),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Emerance Maschmeyer (G),Danielle Serdachny (F),Abby Hustler (F) R
Andreia’s Awesome Team,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Claire Thompson (D),Corinne Schroeder (G),Kendall Cooper (D) R
Amanda,Loren Gabel (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Sophie Jaques (D),Corinne Schroeder (G),Kendall Cooper (D) R
AltheticsR#1,Zoe Boyd (D),Ann-Renée Desbiens (G),Sarah Fillier (F),Daryl Watts (F),Emily Clark (F),Hannah Miller (F),Jessie Eldridge (F),Kendall Cooper (D) R
AllezVictoire,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Corinne Schroeder (G),Kendall Cooper (D) R
All Canadian!,Jamie Lee Rattray (F),Laura Stacey (F),Kristin O’Neill (F),Renata Fast (D),Emily Clark (F),Hannah Miller (F),Jessie Eldridge (F),Abby Hustler (F) R
Aearned Ice Time,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Emma Maltais (F),Emily Clark (F),Emerance Maschmeyer (G),Julia Gosling (F),Kendall Cooper (D) R
AB ROCKIES,Jamie Lee Rattray (F),Marie-Philip Poulin (F),Sarah Fillier (F),Natalie Spooner (F),Brianne Jenner (F),Sarah Nurse (F),Julia Gosling (F),Abby Hustler (F) R
AB CLIPPERS,Jill Saulnier (F),Laura Stacey (F),Sarah Fillier (F),Natalie Spooner (F),Brianne Jenner (F),Sarah Nurse (F),Danielle Serdachny (F),Abby Hustler (F) R
60% chance of ice pellets,Jamie Lee Rattray (F),Laura Stacey (F),Kira Juodikis (F),Renata Fast (D),Jocelyne Larocque (D),Claire Thompson (D),Carly Jackson (G),Abby Hustler (F) R
3kidsgibb,Abby Newhook (F) R,Erin Ambrose (D),Sarah Fillier (F),Renata Fast (D),Emily Clark (F),Emerance Maschmeyer (G),Lexie Adzija (F),Mae Batherson (D)
2Fast4U,Jill Saulnier (F),Ann-Renée Desbiens (G),Sarah Fillier (F),Renata Fast (D),Brianne Jenner (F),Hannah Miller (F),Danielle Serdachny (F),Abby Hustler (F) R
204to604,Abby Newhook (F) R,Marie-Philip Poulin (F),Sarah Fillier (F),Emma Maltais (F),Sarah Wozniewicz (F) R,Jennifer Gardiner (F),Danielle Serdachny (F),Abby Hustler (F) R
14CC,Jamie Lee Rattray (F),Laura Stacey (F),Kristin O’Neill (F),Daryl Watts (F),Sarah Wozniewicz (F) R,Sophie Jaques (D),Megan Carter (D),Vanessa Upson (F)
